b7af6d9,Nuno Moura,6 days ago,Proteção das páginas
10ce5c5,ruialmeida96,6 days ago,Ediçao para testes na pagina home.php linha 225.
f84b944,ruialmeida96,6 days ago,Ediçao da pagina forgot.php e criaçao de uma nova pagina editarinfo.php
ccad035,Nuno Moura,6 days ago,Criação das restantes classes e documentação
ffbab81,Pedro Calado,6 days ago,Funcionalidade de Registo de gestores
a2ad9bc,Nuno Moura,6 days ago,Criação de classe GereAnuncio, Despesa e Tipo
6f00993,Pedro Calado,6 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
6c9d5fd,Nuno Moura,6 days ago,Criação de classe Anúncio
a04b243,Pedro Calado,6 days ago,Funcionalidade de Registo do Administrador
716561e,Pedro Calado,6 days ago,Correção de erros
84311f6,Pedro Calado,6 days ago,Alteração da função de validação do formulário de registo de senhorios
1be1107,Pedro Calado,6 days ago,Criação do ficheiro para criar o Administrador
97a7809,Nuno Moura,7 days ago,Pequenas alterações
82a3cf1,Nuno Moura,7 days ago,Validação de formulário de login
fa7bd84,Pedro Calado,7 days ago,Criação de mensagem de aviso quando ocorre erro durante o registo
d2f1914,ruialmeida96,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
6224f48,ruialmeida96,7 days ago,Tentativas de Implementar o envio de Emails
b72ef80,Pedro Calado,7 days ago,Funcionalidade Registo de senhorios
20c250f,Nuno Moura,7 days ago,Antevisão de erros
5a97d16,Nuno Moura,7 days ago,Redirecionamento de páginas iniciais
cc2fee2,ruialmeida96,7 days ago,Estrutura visual de forgot.php feita
90ccf0e,Pedro Calado,7 days ago,Criação de métodos na classe UtilizadorDAO
1db6aa4,ruialmeida96,7 days ago,Correções
51c6ab6,Nuno Moura,7 days ago,Funcionalidade de login e logout
d8f0dca,ruialmeida96,7 days ago,Ediçao forgot.php
1e3b489,Nuno Moura,7 days ago,Alteração do ficheiro de index
6254c9c,ruialmeida96,7 days ago,Atualizaçao forgot.php
843199c,Nuno Moura,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
090ca66,Nuno Moura,7 days ago,Conflitos
10fd966,ruialmeida96,7 days ago,Atualizaçao forgot.php e home.php
736c18b,ruialmeida96,7 days ago,Atualização da pagina de home.php
fee356d,Pedro Calado,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
0431cc6,Pedro Calado,7 days ago,Documentação de métodos
6a93c4f,Nuno Moura,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
3f01eb2,Nuno Moura,7 days ago,Correção de bugs na autenticação
07b23a4,ruialmeida96,7 days ago,Atualização da pagina home.php (extenção de recuperaçao de pass)
a6f9fad,ruialmeida96,7 days ago,Edição da pagina forgot.php para recuperaçao de password
2a66b2b,ruialmeida96,7 days ago,Criação da pagina de recuperaçao de password
0290d78,Pedro Calado,7 days ago,Não houve criação de novos métodos
6e651fb,Nuno Moura,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
037ce56,Nuno Moura,7 days ago,Debugging da autenticação de utilizadores
9b18d55,Pedro Calado,7 days ago,Criação de métodos de gestão de utilizadores
783e019,Nuno Moura,7 days ago,Atualização de código HTML e correção de bugs
47356a4,Nuno Moura,7 days ago,Merge branch 'master' of https://github.com/gp1718/ESTGOHome
1934df5,Nuno Moura,7 days ago,Correção de bugs no index e na classe BaseDados
422d41d,Pedro Calado,7 days ago,Criação da classe UtilizadorDAO
63eb317,Nuno Moura,7 days ago,Adicionado método à classe BaseDados
5815cf1,Nuno Moura,7 days ago,Criação da classe BaseDados
da2e05e,Pedro Calado,7 days ago,Criação da classe Utilizador.
a21a59f,Nuno Moura,7 days ago,Criação da página inicial
fa91649,Nuno Moura,7 days ago,Estruturação do website
8afdf62,ruialmeida96,8 days ago,Adicionei uma linha (teste) ao ficheiro teste.txt
4b57f1c,ruialmeida96,8 days ago,Adicionei uma linha (nova linha) ao ficheiro teste.txt
f2fd5d2,Pedro Pereira,11 days ago,Alterações ao ficheiro de teste
7b1757b,Nuno Moura,11 days ago,Adicionado ficheiro base da aplicação
994be03,Nuno Moura,11 days ago,Initial commit
